"raceId","positionOrder","driver_name","constructor_name","year","round","circuitId","status","std_avg_lap"
950,20,"Felipe Nasr","Sauber",2016,3,17,"+1 Lap",0.0728298294834827
950,21,"Rio Haryanto","Manor Marussia",2016,3,17,"+1 Lap",0.082026345587031
950,22,"Jolyon Palmer","Renault",2016,3,17,"+1 Lap",0.0856213020714682
951,1,"Nico Rosberg","Mercedes",2016,4,71,"Finished",-0.430990581022192
951,2,"Lewis Hamilton","Mercedes",2016,4,71,"Finished",-0.336957180725767
951,3,"Kimi Räikkönen","Ferrari",2016,4,71,"Finished",-0.310741170795866
951,4,"Valtteri Bottas","Williams",2016,4,71,"Finished",-0.242273641421693
951,5,"Felipe Massa","Williams",2016,4,71,"Finished",-0.151291760629734
951,6,"Fernando Alonso","McLaren",2016,4,71,"+1 Lap",-0.0171293322759289
951,7,"Kevin Magnussen","Renault",2016,4,71,"+1 Lap",0.0159567881866975
951,8,"Romain Grosjean","Haas F1 Team",2016,4,71,"+1 Lap",0.0234335313150151
951,9,"Sergio Pérez","Force India",2016,4,71,"+1 Lap",0.0292709065854137
951,10,"Jenson Button","McLaren",2016,4,71,"+1 Lap",0.0444465501687303
951,11,"Daniel Ricciardo","Red Bull",2016,4,71,"+1 Lap",0.0737981293660859
951,12,"Carlos Sainz","Toro Rosso",2016,4,71,"+1 Lap",0.0708258175486589
951,13,"Jolyon Palmer","Renault",2016,4,71,"+1 Lap",0.109304998628516
951,14,"Marcus Ericsson","Sauber",2016,4,71,"+1 Lap",0.116831535640373
951,15,"Daniil Kvyat","Red Bull",2016,4,71,"+1 Lap",0.176787201720948
951,16,"Felipe Nasr","Sauber",2016,4,71,"+1 Lap",0.182877376707732
951,17,"Esteban Gutiérrez","Haas F1 Team",2016,4,71,"+1 Lap",0.229338900348876
951,18,"Pascal Wehrlein","Manor Marussia",2016,4,71,"+2 Laps",0.534587723485813
951,19,"Max Verstappen","Toro Rosso",2016,4,71,"Power Unit",0.394403651098464
952,1,"Max Verstappen","Red Bull",2016,5,4,"Finished",0.221456236374266
952,2,"Kimi Räikkönen","Ferrari",2016,5,4,"Finished",0.222488119647401
952,3,"Sebastian Vettel","Ferrari",2016,5,4,"Finished",0.230805165834302
952,4,"Daniel Ricciardo","Red Bull",2016,5,4,"Finished",0.29507842769637
952,5,"Valtteri Bottas","Williams",2016,5,4,"Finished",0.297291281273986
952,6,"Carlos Sainz","Toro Rosso",2016,5,4,"Finished",0.324301160975417
952,7,"Sergio Pérez","Force India",2016,5,4,"Finished",0.354693138612658
952,8,"Felipe Massa","Williams",2016,5,4,"Finished",0.356651371642361
952,9,"Jenson Button","McLaren",2016,5,4,"+1 Lap",0.382794871426797
952,10,"Daniil Kvyat","Toro Rosso",2016,5,4,"+1 Lap",0.388433376455015
952,11,"Esteban Gutiérrez","Haas F1 Team",2016,5,4,"+1 Lap",0.401433404790057
952,12,"Marcus Ericsson","Sauber",2016,5,4,"+1 Lap",0.448790043401119
952,13,"Jolyon Palmer","Renault",2016,5,4,"+1 Lap",0.458310017049066
952,14,"Kevin Magnussen","Renault",2016,5,4,"+1 Lap",0.463048742541856
