"resultId","raceId","driverId","constructorId","positionOrder","laps","fastestLapSpeed","statusId","driver_name","constructor_name","year","round","circuitId","race_name","status","circuit_name","total_time","avg_lap","circuit_avg_lap","circuit_lap_sd","std_avg_lap"
100,22,5,1,12,57,"219.269",11,"Heikki Kovalainen","McLaren",2008,5,5,"Turkish Grand Prix","+1 Lap","Istanbul Park",5211412,91428.2807017544,95757.48962215,9823.32924998032,-0.440706893785959
101,22,10,7,13,57,"217.623",11,"Timo Glock","Toyota",2008,5,5,"Turkish Grand Prix","+1 Lap","Istanbul Park",5216703,91521.1052631579,95757.48962215,9823.32924998032,-0.431257494397896
102,22,22,11,14,57,"218.330",11,"Rubens Barrichello","Honda",2008,5,5,"Turkish Grand Prix","+1 Lap","Istanbul Park",5222734,91626.9122807018,95757.48962215,9823.32924998032,-0.420486500689823
103,22,12,4,15,57,"218.703",11,"Nelson Piquet Jr.","Renault",2008,5,5,"Turkish Grand Prix","+1 Lap","Istanbul Park",5223906,91647.4736842105,95757.48962215,9823.32924998032,-0.418393381037053
104,22,16,10,16,57,"216.454",11,"Adrian Sutil","Force India",2008,5,5,"Turkish Grand Prix","+1 Lap","Istanbul Park",5271473,92481.9824561404,95757.48962215,9823.32924998032,-0.333441655334537
105,22,20,5,17,57,"217.926",11,"Sebastian Vettel","Toro Rosso",2008,5,5,"Turkish Grand Prix","+1 Lap","Istanbul Park",5272085,92492.7192982456,95757.48962215,9823.32924998032,-0.332348661113124
106,22,7,5,18,24,"216.539",22,"Sébastien Bourdais","Toro Rosso",2008,5,5,"Turkish Grand Prix","Suspension","Istanbul Park",2280946,95039.4166666667,95757.48962215,9823.32924998032,-0.0730987364069807
107,22,6,3,19,1,NA,4,"Kazuki Nakajima","Williams",2008,5,5,"Turkish Grand Prix","Collision","Istanbul Park",151878,151878,95757.48962215,9823.32924998032,5.71298273219973
109,23,1,1,1,76,"153.152",1,"Lewis Hamilton","McLaren",2008,6,6,"Monaco Grand Prix","Finished","Circuit de Monaco",7242742,95299.2368421053,89119.1876576058,11793.4204560648,0.524025172130735
110,23,9,2,2,76,"154.286",1,"Robert Kubica","BMW Sauber",2008,6,6,"Monaco Grand Prix","Finished","Circuit de Monaco",7245806,95339.5526315789,89119.1876576058,11793.4204560648,0.527443670574327
111,23,13,6,3,76,"154.379",1,"Felipe Massa","Ferrari",2008,6,6,"Monaco Grand Prix","Finished","Circuit de Monaco",7247553,95362.5394736842,89119.1876576058,11793.4204560648,0.529392794850095
112,23,17,9,4,76,"152.133",1,"Mark Webber","Red Bull",2008,6,6,"Monaco Grand Prix","Finished","Circuit de Monaco",7262037,95553.1184210526,89119.1876576058,11793.4204560648,0.545552563602375
113,23,20,5,5,76,"152.614",1,"Sebastian Vettel","Toro Rosso",2008,6,6,"Monaco Grand Prix","Finished","Circuit de Monaco",7267399,95623.6710526316,89119.1876576058,11793.4204560648,0.551534935878661
